image_stem,texture_score,perc_bleached,median_whiteness_score,mean_whiteness_score,severity
C6_Gy_PP_T1_27nov24_CDaza_corr,0.11948675125059091,51.647691664222585,-0.021365723724750013,0.47189374550571284,0.019518534688840163
C6_Gy_PP_T2_27nov24_CDaza_corr,-0.652443663928645,11.24969463939839,-0.2638752938400476,-0.18341365344377691,-0.2954353524168698
C6_Gy_PP_T3_27nov24_CDaza_corr,-0.11651439575823061,26.26630776648802,-0.36509449859644305,-0.2569092002329209,-0.21056379252290447
C6_Gy_PSa_T1_27nov24_CDaza_corr,-0.8988271011456807,11.568375819090397,-0.052847072455808386,-0.4511785400191085,-0.2528171951202884
C6_Gy_PSa_T2_27nov24_CDaza_corr,-0.541464502161587,5.312134989815914,-0.11542093561069398,-0.12115167094230359,-0.1937823089477846
C6_Gy_PSb_T1_27nov24_CGomez_corr,-1.180300957222969,0.20702793637734684,-0.08684075716535082,-0.3490098961202709,-0.34064596255186674
C6_Gy_PSb_T2_27nov24_CGomez_corr,0.03535663982848627,13.137797772414508,-0.04037327545311435,-0.10080388373095013,-0.011123430181377894
C6_Gy_PSb_T3_27nov24_CGomez_corr,0.07286882004167732,22.1360661850778,0.31271938074063343,0.1346762551278028,0.1735679466167647
C6_PB_PP_T2_19nov24_CGomez_Corr,-1.514340612254148,5.836657845189662,-0.5827568708298011,-0.5938712030108662,-0.6709716808648806
C6_PB_PSb_T1_19nov24_HBenavides_Corr,0.20672681973694068,5.170868218674672,-0.5903244241385676,-0.4611121346892022,-0.24085457450040398
C6_PB_PSb_T2_19nov24_HBenavides_Corr,0.18296395788337205,29.14019109538425,-0.6435585216554804,-0.4951001686506289,-0.27326438352115945
C6_PB_PSb_T3_19nov24_HBenavides_Corr,0.27995777112858666,44.886707633934094,1.1012309521347698,1.0950875431934586,0.6171008667044241
C7_BC_EM_T1_29nov24_CGomez_corr,0.3811143380333858,62.50707815714066,0.8787982866968095,0.5738483527556435,0.5322118587153318
C7_BC_EM_T2_29nov24_CGomez_corr,0.24833779333474007,56.423374664576755,-0.30050713752223907,0.02083730566431255,-0.0865325551730841
C7_BC_EM_T3_29nov24_CGomez_corr,0.23498214519166272,0.0,0.05002901149788269,-0.529130960514586,0.08406653096499286
C7_BC_EP_T1_29nov24_CDaza_corr,-0.39899061222836385,0.0,-0.649101534324457,-0.8183553216966875,-0.4227232314152822
C7_BC_EP_T2_29nov24_CDaza_corr,-0.5595979053885878,19.15248829863547,-0.05906262631233927,0.221033588613256,-0.17038384489122066
C7_BC_EP_T3_29nov24_CDaza_corr,0.054133176147642806,0.0,-0.5624151952682146,-0.8431093793770699,-0.2654717503619219
C7_BC_ESa_T1_29nov24_CDaza_corr,-0.23123975881640046,3.848970867401085,0.44483084095334574,0.32186027709912224,0.1624686369208332
C7_BC_ESa_T2_29nov24_CDaza_corr,0.08836674778734127,70.3769949208641,0.13966712750432422,-0.04864527318528933,0.09159158880509954
C7_BC_ESa_T3_29nov24_CDaza_corr,-0.5175187383313478,7.792693436239801,-0.6612719631506295,-0.8100078091282791,-0.4586436049418923
C7_BC_ESb_T1_29nov24_CGomez_corr,0.3683781903006036,19.595132397036462,-0.06622131921141287,-0.11926770625383641,0.0600016841819299
C7_BC_ESb_T2_29nov24_CGomez_corr,0.4231671833163289,56.68514798298517,0.9704912082409712,0.7444696376631814,0.5883190377554499
C7_BC_ESb_T3_29nov24_CGomez_corr,0.05459929311169154,3.042522481333117,-0.17961800691844018,-0.2527040472936496,-0.07537758061554828
C7_BC_PM_T1_29nov24_CDaza_corr,-0.017038757214453623,0.0,-0.4924946912161742,-1.1188780947069212,-0.24871332360384665
C7_BC_PM_T2_29nov24_CDaza_corr,0.3664801092463185,37.4288168882609,0.10225682293609442,0.5123901449241512,0.14313643289675082
C7_BC_PM_T3_29nov24_CDaza_corr,0.3910475043702719,90.4657581016872,1.8323623810501197,2.172242392390732,1.0079559202484565
C7_BC_PP_T1_29nov24_HBenavides_corr,-0.7957796141897668,5.437069129149227,-0.17322839092862163,-0.1994260842353596,-0.2865829155843629
C7_BC_PP_T2_29nov24_HBenavides_corr,-0.26859978196413353,36.011752109235005,-0.25038819687716074,-0.002266339795152811,-0.19197671728562718
C7_BC_PP_T3_29nov24_HBenavides_corr,-0.5078153816074069,0.0,-0.39463777545397394,-0.7971274086385871,-0.32387077546897286
