image_stem,bleached_percentage,mean_raw_red_z,mean_albedo_z,mean_luminance_z,mean_saturation_z,median_raw_red_z,median_albedo_z,median_luminance_z,median_saturation_z,median_whiteness_score,mean_whiteness_score
C1_PB_PM_T1_19nov24_CGomez_Corr,0.0,0.4809437464937665,-0.151698664381417,-1.5322083318925768,-0.9794784853136516,0.2142031252723798,0.2707086082384389,-1.1977256125381772,-0.6642768229825988,-0.4135868235773592,-0.6610981978387023
C1_PB_PM_T2_19nov24_CGomez_Corr,0.0,1.49929888076127,-0.1537443221149348,-0.2060213067464617,-0.2315223730401684,0.9904274841897986,0.1725645371370711,-0.1039852686097089,-0.2408204538397186,-0.18645517693429609,-0.4600209564864876
C1_PB_PM_T3_19nov24_CGomez_Corr,0.676759365047502,0.5328659503438102,0.0482138099953572,-0.4297284713049724,-0.7257210399607511,0.1117541728918602,0.3182033719659878,-0.4833168144990584,-0.8828306443457218,-0.31553906679449384,-0.39182785216399113
C1_PB_PP_T1_19nov24_CGomez_Corr,0.0009221250082266,1.365175158691956,-0.5785493315846306,-1.4811078670374884,-1.1595285956297876,1.164813491834048,-0.206225960989437,-1.243336960773983,-0.8704488604213338,-0.6735528178074697,-0.993647032315021
C1_PB_PP_T2_19nov24_CGomez_Corr,0.0,-0.1299289213897803,-0.2812373971509253,-0.4456638162971492,-1.062704317259137,-0.087492583861507,0.1208690702488649,-0.3609889637018416,-0.9860204997275612,-0.32685033067306873,-0.425763191641055
C1_PB_PP_T3_19nov24_CGomez_Corr,0.0064353129384477,-0.3104332502198734,-0.2363617984941517,-0.858909562651031,-1.8561462561908952,-0.3821838194942044,0.0671117009271016,-0.6906737907732643,-1.6411750114680628,-0.5530710535142609,-0.6820545800896952
C1_PB_PSA_T1_19nov24_HBenavides_Corr,0.5220155193139984,0.3082858034826134,0.5039349932535402,-1.1606872779121702,-0.7870434481433125,0.1093714104312028,0.669019813151373,-1.4205694524358052,-0.5372871996751383,-0.34659433589242017,-0.3688765541685942
C1_PB_PSA_T3_19nov24_HBenavides_Corr,0.8073457880008096,-2.654845008815898,4.109780263446785,2.2650554387866397,2.657972378259684,-2.295613367753202,4.200718958454194,1.95246178282648,3.1323692828823817,2.2227254850436546,2.613383235756635
C1_PB_PSb_T1_19nov24_HBenavides_Corr,0.0481813724026329,0.9026329793860391,1.3253960348124016,1.0587206897757024,1.090120582708497,0.5948772385252328,1.6269204356817122,0.9864308091223588,1.5645746907835083,0.8238203726337947,0.5804180329650515
C1_PB_PSb_T2_19nov24_HBenavides_Corr,0.0354752084527611,0.7448316034849928,-0.3080597771746728,-0.7728724955278359,-0.3927599075417112,0.2607889892181693,0.0403333160599571,-0.9045104016624592,-0.1808364348169728,-0.25716767842571936,-0.4611510886044804
C1_PB_PSb_T3_19nov24_HBenavides_Corr,0.2391423750932884,0.9139992636390752,0.5327896954088736,0.3657536076821614,0.4522630358933804,0.4410861161161207,0.5778362157232274,0.3787394008765831,0.5338398498777562,0.2633826151236882,0.10941338556821767
C20_Gr_PSa_T3_30nov24_CDaza_corr,0.644032230516135,-1.4430278597233468,2.413331198429603,1.840704816329073,1.4785182511444648,-1.6532907944505202,2.198451044439229,1.8321679757971483,1.6184398540014533,1.3734391925657468,1.5575211105562696
C2_BC_EM_T1_29nov24_CGomez_corr,0.0204039315929897,-0.1195573721062413,-0.702056595827277,-0.2618061896157913,-0.2685479432375007,-0.3407857032735654,-0.7270828434164113,-0.1935005315857603,-0.3320484269265648,-0.20387573067472353,-0.24658415122918403
