image,lap_var_gray_masked,lbp_var_gray_masked,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,perc_bleached,has_bleached
C3_BC_EM_T3_29nov24_CGomez_corr,65.95392304056902,2.0541752038200554,26.806113868868174,0.8907348322382052,0.8569863031805713,0.9948915009898273,39.642123259522286,True
C3_BC_EP_T1_29nov24_CDaza_corr,163.18743499074347,6.48335909034765,91.74801838126272,0.42802815727461235,0.28436289594587616,0.9790367519410215,0.0,False
C3_BC_EP_T2_29nov24_CDaza_corr,406.0265744064182,5.49557131066281,138.14849943437895,0.6257512405969257,0.5454618128620216,0.9663439531405389,0.5850196360626417,True
C3_BC_EP_T3_29nov24_CDaza_corr,61.67062120361432,3.416205312777017,28.364430602685488,0.796012220159138,0.7311167135041337,0.9974734620615507,0.4947566011763233,True
C3_BC_ESa_T1_29nov24_CDaza_corr,69.99965461659482,1.922549914139487,27.085640910589426,0.9010436449053371,0.8719890930197567,0.9907330740085916,5.409197194076384,True
C3_BC_ESb_T1_29nov24_CGomez_corr,63.5807038503208,6.229272552597068,36.348071205176225,0.5719285369569854,0.42180252589303746,0.9959622643550294,13.998603305232168,True
C3_BC_ESb_T2_29nov24_CGomez_corr,62.97681485139709,2.3568101201996003,28.362943399483367,0.8767596413551676,0.8333173736546882,0.9941555395206425,1.3136083222113846,True
C3_BC_ESb_T3_29nov24_CGomez_corr,58.292314336133956,2.38474908658759,23.65237617663306,0.8733466029060482,0.8325954499050034,0.995339305320361,74.72303235371405,True
C3_BC_PM_T1_29nov24_CDaza_corr,101.45894953003857,4.237856055984964,45.069254656681046,0.7547714538049686,0.6755077777092249,0.9908974280268047,9.849988069496064,True
C3_BC_PM_T2_29nov24_CDaza_corr,107.65955116655329,6.1813137018788185,46.210460191012,0.5919742559957163,0.41245590682200667,0.996301683410633,46.92233315588775,True
C3_BC_PM_T3_29nov24_CDaza_corr,117.02933324224016,4.918076380104582,49.08694804599901,0.7056870675305723,0.5917387701449738,0.9942575140269685,45.32383546083473,True
C3_BC_PP_T1_29nov24_HBenavides_corr,539.7913851889316,3.900264679675502,171.67206248029544,0.7760289020402964,0.7222119729658419,0.9662334084838722,39.76290571726228,True
C3_BC_PP_T2_29nov24_HBenavides_corr,341.47153497538585,3.6654419550835473,106.63776284351846,0.7838904813814467,0.7335550014626974,0.9820049469542426,47.092078708598976,True
C3_BC_PP_T3_29nov24_HBenavides_corr,558.5398064781303,2.474906132657839,145.12634634621486,0.8676194645977604,0.8413038241294872,0.9499878236441462,6.261328274228687,True
C3_BC_PSa_T1_29nov24_CDaza_corr,53.84332227447059,2.9300958412079305,28.505307654849084,0.8401483119092144,0.7874957183821887,0.9959485026056984,0.34271888674261836,True
C3_BC_PSb_T2_29nov24_HBenavides_corr,90.21031537685123,4.3451757713476225,44.32744369260976,0.756176104855703,0.6392493061142183,0.9957126433017922,29.46323927210031,True
C3_BC_PSb_T3_29nov24_HBenavides_corr,70.40671654721729,5.852936595206865,41.42339587406785,0.6080096639409023,0.4502769276295181,0.9959608443278742,64.54398520780603,True
C3_Gr_PM_T1_30nov24_CGomez_corr,109.62144558484488,6.81377504489975,62.01653683395281,0.3394487481897914,0.17746993631006536,0.9876829303223482,99.04342575934028,True
C3_Gr_PM_T2_30nov24_CGomez_corr,75.27915735215845,5.657759369478549,37.86823313963568,0.6302155802789772,0.506344430307206,0.9960576475012737,53.0330780597319,True
C3_Gr_PM_T3_30nov24_CGomez_corr,85.49018522859603,6.48290798001808,53.79530824866919,0.4875868072022653,0.33946880943443497,0.9945655367354629,73.61453315475333,True
C3_Gr_PP_T1_30nov24_HBenavides_corr,119.40139987348303,6.174721151397983,73.05080072001508,0.4970127326200626,0.3703232666443811,0.988959207892542,45.444623818684356,True
C3_Gr_PP_T2_30nov24_HBenavides_corr,167.8579543070796,6.318802456228776,86.59975202728481,0.49295905116041777,0.3684846618647718,0.9794025344083226,3.128195124700954,True
C3_Gr_PP_T3_30nov24_HBenavides_corr,179.90574471131157,5.934884935187511,85.59528687859192,0.5516455569769396,0.4426298596075251,0.9837220127626334,16.887003427115673,True
C3_Gr_PSa_T1_30nov24_CDaza_corr,63.55614453264853,2.5984545102451957,23.905400613581282,0.8609428477076625,0.8127058675283301,0.9961893995362994,33.3177181531039,True
C3_Gr_PSa_T2_30nov24_CDaza_corr,123.98897768612927,2.493567384601449,40.641655111339084,0.8694745306305702,0.8284377017574902,0.9881609901396256,16.97849150518996,True
