image_stem,bleached_percentage,mean_raw_red_z,mean_albedo_z,mean_luminance_z,mean_saturation_z,median_raw_red_z,median_albedo_z,median_luminance_z,median_saturation_z
C1_PB_PSb_T1_19nov24_HBenavides_Corr,0.048181372402632955,0.9026329793860393,1.3253960348124016,1.0587206897757024,1.090120582708497,0.5948772385252328,1.6269204356817122,0.9864308091223588,1.5645746907835083
C1_PB_PSb_T2_19nov24_HBenavides_Corr,0.03547520845276113,0.7448316034849928,-0.30805977717467287,-0.7728724955278359,-0.3927599075417112,0.26078898921816934,0.04033331605995713,-0.9045104016624593,-0.18083643481697287
C1_PB_PSb_T3_19nov24_HBenavides_Corr,0.23914237509328842,0.9139992636390752,0.5327896954088736,0.3657536076821614,0.45226303589338046,0.4410861161161207,0.5778362157232274,0.3787394008765831,0.5338398498777562
C20_Gr_PSa_T3_30nov24_CDaza_corr,0.644032230516135,-1.4430278597233468,2.413331198429603,1.8407048163290731,1.4785182511444648,-1.6532907944505202,2.198451044439229,1.8321679757971483,1.6184398540014533
C2_BC_EM_T1_29nov24_CGomez_corr,0.02040393159298977,-0.11955737210624137,-0.702056595827277,-0.2618061896157913,-0.2685479432375007,-0.34078570327356544,-0.7270828434164113,-0.19350053158576033,-0.3320484269265648
C2_BC_EM_T2_29nov24_CGomez_corr,0.9448037418714905,-0.7758873375844841,-0.9479299272268932,1.5777631460709953,0.7657806529948674,-0.8204474023404118,-0.34005298230860376,1.6171432081895394,0.7499952214758708
C2_BC_EM_T3_29nov24_CGomez_corr,0.6219624322698678,-1.882259095724815,1.8978381951141883,2.0436415427048273,2.0279524601804337,-2.125520880498468,1.9573804634169976,1.5742191242662678,2.3442572811651385
C2_BC_EP_T1_29nov24_CDaza_corr,0.016167053489457683,-0.3946677906972926,-0.903192641184847,-0.3885841288434293,-1.4103822080367314,-0.4146820690156485,-0.5067628063738602,-0.34357599429436786,-1.0614555153478888
C2_BC_EP_T2_29nov24_CDaza_corr,0.009314749654842448,-0.07586742762284968,-0.6308057728610917,-0.3263722367900331,-0.8924150677386377,-0.40794985854517124,-0.5685753254946188,-0.4080893527767989,-0.8962860538102739
C2_BC_EP_T3_29nov24_CDaza_corr,0.10372160846884473,-0.4933651853196585,0.12039340452971971,1.0870422279082002,-0.29888819936006034,-0.6918722616177351,0.05750487636925663,1.2158857107137369,-0.5545277971102534
C2_BC_ESa_T1_29nov24_CDaza_corr,0.0456072810162119,0.2548680129927917,-0.43065278559283776,0.5659465814862312,-0.3633320579458866,-0.03196813409477342,-0.06354535424681154,0.6903339896367902,-0.32561527753576053
C2_BC_ESa_T2_29nov24_CDaza_corr,0.015123291279764424,-1.019303862480159,0.03342568958047102,1.5360781456237678,-0.5194567156249428,-1.05464830719474,0.774163770978921,1.5429076014638,-0.6033379452927681
C2_BC_ESa_T3_29nov24_CDaza_corr,0.009621110281304456,-1.379854349742836,-0.16547611138971247,0.6979858204134772,-1.4713744119524743,-1.2115529386638701,8.005820933143726e-05,0.7208267497017865,-1.5694344216340415
C2_BC_ESb_T1_29nov24_CGomez_corr,0.2309592699088883,0.25630001324660356,-0.7615305481033041,-0.6805536993778107,-0.7087850369073556,0.44766529386730375,-0.7911472615901499,-0.7282770354313014,-0.7093198344096351
